config,cutoff,N,W,part,insiders_caught,insiders_total,user_recall,false_users,normal_users,user_fpr,median_delay_days
device (порог 0.65),0.65,3,30,тест,17,35,0.4857,23,888,0.0259,4
device (порог 0.65),0.65,4,7,валидация,1,35,0.0286,0,910,0.0,5
device (порог 0.65),0.65,4,7,тест,1,35,0.0286,0,888,0.0,3
device (порог 0.65),0.65,4,14,валидация,7,35,0.2,4,910,0.0044,6
device (порог 0.65),0.65,4,14,тест,13,35,0.3714,2,888,0.0023,6
device (порог 0.65),0.65,4,30,валидация,8,35,0.2286,12,910,0.0132,6.0
device (порог 0.65),0.65,4,30,тест,15,35,0.4286,11,888,0.0124,6
device (порог 0.65),0.65,5,7,валидация,0,35,0.0,0,910,0.0,
device (порог 0.65),0.65,5,7,тест,0,35,0.0,0,888,0.0,
device (порог 0.65),0.65,5,14,валидация,2,35,0.0571,0,910,0.0,9.5
device (порог 0.65),0.65,5,14,тест,0,35,0.0,1,888,0.0011,
device (порог 0.65),0.65,5,30,валидация,2,35,0.0571,5,910,0.0055,9.5
device (порог 0.65),0.65,5,30,тест,0,35,0.0,4,888,0.0045,
logon+device,0.6,1,7,валидация,21,35,0.6,76,910,0.0835,0
logon+device,0.6,1,7,тест,22,35,0.6286,83,888,0.0935,0.0
logon+device,0.6,1,14,валидация,21,35,0.6,76,910,0.0835,0
logon+device,0.6,1,14,тест,22,35,0.6286,83,888,0.0935,0.0
logon+device,0.6,1,30,валидация,21,35,0.6,76,910,0.0835,0
logon+device,0.6,1,30,тест,22,35,0.6286,83,888,0.0935,0.0
logon+device,0.6,2,7,валидация,15,35,0.4286,29,910,0.0319,0
logon+device,0.6,2,7,тест,18,35,0.5143,25,888,0.0282,0.0
logon+device,0.6,2,14,валидация,16,35,0.4571,38,910,0.0418,0.0
logon+device,0.6,2,14,тест,20,35,0.5714,39,888,0.0439,0.0
logon+device,0.6,2,30,валидация,16,35,0.4571,47,910,0.0516,0.0
logon+device,0.6,2,30,тест,20,35,0.5714,43,888,0.0484,0.0
logon+device,0.6,3,7,валидация,8,35,0.2286,6,910,0.0066,2.0
logon+device,0.6,3,7,тест,12,35,0.3429,5,888,0.0056,4.5
logon+device,0.6,3,14,валидация,14,35,0.4,14,910,0.0154,4.0
logon+device,0.6,3,14,тест,17,35,0.4857,11,888,0.0124,4
logon+device,0.6,3,30,валидация,14,35,0.4,23,910,0.0253,4.0
logon+device,0.6,3,30,тест,17,35,0.4857,29,888,0.0327,4
