config,cutoff,TP,FN,FP,TN,precision,recall,f1,fpr,recall_s1,recall_s2,recall_s3
logon,0.75,6,1358,68,243796,0.0811,0.0044,0.0083,0.00028,0.0321,0.0008,0.0
device,0.3,211,1153,2362,241502,0.082,0.1547,0.1072,0.00969,0.5064,0.1061,0.3
combined,0.6,102,1262,729,243135,0.1227,0.0748,0.0929,0.00299,0.5064,0.0143,0.3
