config,cutoff,N,W,val_recall,val_fpr,test_caught,test_recall,test_fpr,test_false_users
file,0.6,2,7,0.1143,0.0297,8,0.2286,0.0372,33
device+file,0.65,3,14,0.4,0.0231,19,0.5429,0.0191,17
