target,adversary,c_ms_per_commit,hybrids_on_frontier
bad,key,0.5623,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,1.0,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,1.7783,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,3.1623,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,5.6234,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,10.0,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,17.7828,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,31.6228,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,56.2341,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,100.0,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,177.8279,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,316.2278,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,562.3413,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
bad,key,1000.0,hybrid tau=0.30 B=10; hybrid tau=0.30 B=100; hybrid tau=0.30 B=1000; hybrid tau=0.30 B=10000; hybrid tau=0.30 B=2; hybrid tau=0.30 B=25; hybrid tau=0.30 B=250; hybrid tau=0.30 B=5; hybrid tau=0.30 B=50; hybrid tau=0.30 B=500
